"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16458","Повторное использование поиска - Пушкин -> Италия","chromium","2026-07-23","passed","2026-07-23","Тестирование поиска на сайте Третьяковской галереи","search..spec.js","",""
"","11959","Повторное использование поиска - Пушкин -> Италия","chromium","2026-04-09","passed","2026-04-09","Тестирование поиска на сайте Третьяковской галереи","search..spec.js","",""
